date,Omicron_BA2,Omicron_BA1,average_c,average_k,Omicron_BA2_lb,Omicron_BA2_ub,Omicron_BA1_lb,Omicron_BA1_ub,average_c_lb,average_c_ub,average_k_lb,average_k_ub
2022-03-14,0.4213207078415269,0.5786792921584731,1.0,1.138425615282482,0.38865140658221553,0.4439396589168861,0.556060341083114,0.6113485934177845,1.0,1.0,1.1234798468556417,1.1482085855558286
2022-03-15,0.44285490036948455,0.5571450996305154,1.0,1.1455007098477727,0.4121474198049756,0.46378845078255393,0.5362115492174461,0.5878525801950244,1.0,1.0,1.1292848081981584,1.155971290771282
2022-03-16,0.4645626697495191,0.5354373302504809,1.0,1.1526328333748501,0.43599322253640205,0.4837189686398568,0.5162810313601431,0.564006777463598,1.0,1.0,1.1351394794132887,1.1637841595111453
2022-03-17,0.486361540981595,0.513638459018405,1.0,1.1597948885660674,0.46007967125737603,0.5036675212416877,0.4963324787583123,0.539920328742624,1.0,1.0,1.141025461848228,1.1716147768924612
2022-03-18,0.5081681421335702,0.4918318578664298,1.0,1.1669594834352501,0.4842939033003309,0.5235705091401348,0.4764294908598652,0.5157060966996692,1.0,1.0,1.1469240511397796,1.1795460309648447
2022-03-19,0.529899486198302,0.47010051380169804,1.0,1.1740993524639696,0.5085214756892857,0.5434846471016587,0.45651535289834133,0.49147852431071426,1.0,1.0,1.152816476577324,1.188528106586087
2022-03-20,0.5514742281191954,0.44852577188080456,1.0,1.181187769599364,0.5326485425503398,0.565814061560011,0.434185938439989,0.4673514574496602,1.0,1.0,1.1586841403358497,1.197472921014278
2022-03-21,0.5728138569786854,0.42718614302131463,1.0,1.1881989399496375,0.5552858724925631,0.5878314649778448,0.4121685350221552,0.4447141275074369,1.0,1.0,1.164508850118219,1.206339277519116
2022-03-22,0.5938437874069931,0.40615621259300694,1.0,1.19510835836821,0.5747424106452914,0.6094563383554399,0.3905436616445601,0.4252575893547086,1.0,1.0,1.1702730391194969,1.215087729167657
2022-03-23,0.6144943201079829,0.3855056798920171,1.0,1.2018931250360776,0.5939381632694198,0.6306146611217989,0.36938533887820113,0.40606183673058016,1.0,1.0,1.1759599678669799,1.2236812419787042
2022-03-24,0.6347014485193241,0.3652985514806759,1.0,1.2085322104913412,0.6128200249028355,0.6512397420699867,0.3487602579300133,0.3871799750971645,1.0,1.0,1.1815539033500875,1.2320857599717892
2022-03-25,0.6544074964624279,0.3455925035375721,1.0,1.2150066651301485,0.6313388032601466,0.6712728254277822,0.3287271745722178,0.3686611967398534,1.0,1.0,1.1870402718749706,1.240270656882819
